2022-05-21,BTC-USD
Time,Price,UnixTime
00:41:28.275599Z,29180.56,1653093688.275599
00:41:32.945102Z,29179.43,1653093692.945102
00:41:38.951765Z,29181.45,1653093698.951765
00:41:44.170879Z,29180.26,1653093704.170879
00:41:48.190392Z,29174.39,1653093708.190392
00:41:53.670084Z,29174.9,1653093713.670084
00:41:57.957057Z,29174.39,1653093717.957057
00:42:02.026103Z,29174.16,1653093722.026103
00:42:08.872106Z,29183.28,1653093728.872106
00:42:13.732914Z,29186.11,1653093733.732914
00:42:18.651649Z,29196.81,1653093738.651649
00:42:23.126083Z,29211.04,1653093743.126083
00:42:29.159217Z,29217.78,1653093749.159217
00:42:34.250798Z,29224.32,1653093754.250798
00:42:37.627157Z,29217.18,1653093757.627157
00:42:43.654993Z,29205.62,1653093763.654993
00:42:49.109754Z,29200.91,1653093769.109754
00:42:53.255710Z,29209.14,1653093773.25571
00:42:57.686893Z,29210.24,1653093777.686893
00:43:02.955356Z,29213.85,1653093782.955356
00:43:08.673703Z,29198.3,1653093788.673703
00:43:13.089136Z,29200.27,1653093793.089136
00:43:18.983065Z,29203,1653093798.983065
00:43:24.433931Z,29228.5,1653093804.433931
00:43:29.058934Z,29221.32,1653093809.058934
00:43:33.751904Z,29221.94,1653093813.751904
00:43:38.943391Z,29216.82,1653093818.943391
00:43:46.782249Z,29222.01,1653093826.782249
00:43:51.817114Z,29215.94,1653093831.817114
00:43:55.817763Z,29210.42,1653093835.817763
00:44:00.777355Z,29200.38,1653093840.777355
00:44:06.646844Z,29212.77,1653093846.646844
00:44:10.620967Z,29209.77,1653093850.620967
00:44:17.023715Z,29219.32,1653093857.023715
00:44:19.996043Z,29213.18,1653093859.996043
00:44:26.765053Z,29212.98,1653093866.765053
00:44:32.619602Z,29217.75,1653093872.619602
00:44:37.502110Z,29218.67,1653093877.50211
00:44:42.500101Z,29231.15,1653093882.500101
00:44:47.976093Z,29231.17,1653093887.976093
00:44:52.173389Z,29242.65,1653093892.173389
00:44:57.847509Z,29242.18,1653093897.847509
00:45:02.281150Z,29247.01,1653093902.28115
00:45:06.732746Z,29258.96,1653093906.732746
00:45:12.457018Z,29256.11,1653093912.457018
00:45:16.887324Z,29254.43,1653093916.887324
00:45:23.131633Z,29252.76,1653093923.131633
00:45:26.752569Z,29252.79,1653093926.752569
00:45:33.157294Z,29254.59,1653093933.157294
00:45:38.649151Z,29246.13,1653093938.649151
00:45:41.600341Z,29239.89,1653093941.600341
00:45:48.226688Z,29241.74,1653093948.226688
00:45:51.965650Z,29243.04,1653093951.96565
00:45:56.880258Z,29236.36,1653093956.880258
00:46:02.867468Z,29234.03,1653093962.867468
00:46:06.816115Z,29229.49,1653093966.816115
00:46:13.410489Z,29213.95,1653093973.410489
00:46:19.377816Z,29211.82,1653093979.377816
00:46:23.216494Z,29215.55,1653093983.216494
00:46:26.557739Z,29210.06,1653093986.557739
00:46:33.829522Z,29206.77,1653093993.829522
00:46:37.719565Z,29206.77,1653093997.719565
00:46:43.862016Z,29187.31,1653094003.862016
00:46:47.472727Z,29188.31,1653094007.472727
00:46:52.821794Z,29183.45,1653094012.821794
00:46:59.641816Z,29186.85,1653094019.641816
00:47:04.101078Z,29191.64,1653094024.101078
00:47:09.696048Z,29195.62,1653094029.696048
00:47:13.604253Z,29197.05,1653094033.604253
00:47:20.058660Z,29201.8,1653094040.05866
00:47:25.054556Z,29217.83,1653094045.054556
00:47:29.711258Z,29210.26,1653094049.711258
00:47:33.736637Z,29216.87,1653094053.736637
00:47:39.679189Z,29222.01,1653094059.679189
00:47:43.527211Z,29213.86,1653094063.527211
00:47:49.414730Z,29210.37,1653094069.41473
00:47:53.657346Z,29221.93,1653094073.657346
00:47:59.778631Z,29212.13,1653094079.778631
00:48:01.778639Z,29213.89,1653094081.778639
00:48:10.521606Z,29222.09,1653094090.521606
00:48:13.343661Z,29221.21,1653094093.343661
00:48:18.935705Z,29211.97,1653094098.935705
00:48:23.959771Z,29219.45,1653094103.959771
